"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"215"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	15	"X_hsa04910__46"	9.31023656258367
"216"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	16	"X_hsa04010__14"	9.13735620932368
"217"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	17	"X_hsa04151__103"	9.10825413540252
"218"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	18	"X_hsa04151__97"	9.09020781172104
"219"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	19	"X_hsa05205__103"	9.04816855659662
"220"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	20	"X_hsa04152__38"	8.81486903714571
"221"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	21	"X_hsa04919__49"	8.71094147658193
"222"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	22	"X_hsa04914__42"	8.59546560110102
"223"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	23	"X_hsa04010__58"	8.51512858590362
"224"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	24	"X_hsa05200__194"	8.46745888124655
"225"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	25	"X_hsa04310__34"	8.05073040895712
"226"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	26	"X_hsa04010__61"	8.00416523575884
"227"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorRF"	27	"X_hsa04390__13"	7.96106690646924
